Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate
2016-01-16,113,126,3.97,,,
2016-01-17,145,166,2.41,,,
2016-01-18,301,331,2.72,,,
2016-01-19,345,418,3.35,,,
2016-01-20,382,440,5.0,,,
2016-01-21,369,450,4.89,,,
2016-01-22,292,334,3.89,,,
2016-01-23,108,121,4.13,,,
2016-01-24,147,170,1.18,,,
2016-01-25,400,471,5.94,,,
2016-01-26,380,423,5.91,,,
2016-01-27,330,410,4.88,,,
2016-01-28,333,386,6.48,,,
2016-01-29,345,405,2.96,,,
2016-01-30,128,140,3.57,,,
2016-01-31,156,173,2.89,,,
2016-02-01,346,388,4.9,125.0,150.0,49.33
2016-02-02,382,442,3.39,624.0,743.0,46.03
2016-02-03,334,384,5.21,449.0,550.0,41.45
2016-02-04,361,419,4.3,320.0,396.0,41.67
2016-02-05,399,505,3.56,221.0,257.0,45.53
2016-02-06,130,158,4.43,80.0,98.0,51.02
2016-02-07,115,132,6.82,69.0,82.0,51.22
2016-02-08,321,388,4.9,265.0,330.0,37.88
2016-02-09,358,436,4.13,258.0,326.0,44.17
2016-02-10,348,430,4.88,343.0,413.0,42.13
2016-02-11,344,414,3.38,568.0,661.0,40.7
2016-02-12,277,331,6.04,213.0,256.0,46.48
2016-02-13,107,120,0.83,37.0,42.0,59.52
2016-02-14,125,130,2.31,81.0,95.0,54.74
2016-02-15,270,300,1.67,125.0,154.0,38.96
2016-02-16,364,417,2.4,449.0,514.0,43.39
2016-02-17,359,416,3.12,384.0,444.0,41.22
2016-02-18,370,428,6.31,480.0,550.0,41.27
2016-02-19,323,376,5.85,315.0,374.0,53.74
2016-02-20,115,127,2.36,92.0,113.0,47.79
2016-02-21,140,151,5.3,85.0,103.0,54.37
2016-02-22,412,509,5.11,185.0,224.0,43.3
2016-02-23,354,432,5.56,184.0,230.0,46.52
2016-02-24,348,404,3.71,190.0,229.0,46.29
2016-02-25,393,477,1.89,168.0,222.0,47.3
2016-02-26,363,407,4.42,123.0,142.0,50.0
2016-02-27,116,131,1.53,37.0,49.0,34.69
2016-02-28,152,172,2.33,49.0,62.0,45.16
2016-02-29,466,521,3.45,147.0,187.0,46.52
2016-03-01,380,426,6.34,147.0,175.0,45.14
2016-03-02,370,419,4.3,201.0,248.0,43.55
2016-03-03,368,419,5.01,130.0,158.0,46.2
2016-03-04,295,345,5.22,99.0,115.0,39.13
2016-03-05,102,115,1.74,55.0,62.0,38.71
2016-03-06,149,160,2.5,64.0,80.0,41.25
2016-03-07,374,418,4.31,115.0,156.0,46.79
2016-03-08,429,489,4.29,135.0,165.0,39.39
2016-03-09,398,468,4.7,156.0,206.0,55.83
2016-03-10,394,451,3.1,231.0,292.0,44.52
2016-03-11,315,358,3.07,159.0,191.0,44.5
2016-03-12,109,125,2.4,34.0,40.0,32.5
2016-03-13,131,143,2.1,41.0,51.0,41.18
2016-03-14,396,445,3.15,140.0,181.0,45.86
2016-03-15,362,410,4.63,156.0,191.0,49.21
2016-03-16,347,399,3.01,161.0,206.0,41.26
2016-03-17,357,407,2.46,163.0,206.0,50.0
2016-03-18,260,288,4.17,107.0,126.0,40.48
2016-03-19,113,118,2.54,29.0,34.0,55.88
2016-03-20,159,174,1.72,62.0,74.0,64.86
2016-03-21,351,375,4.0,152.0,183.0,40.98
2016-03-22,393,430,5.58,130.0,181.0,40.33
2016-03-23,366,426,3.05,112.0,135.0,48.15
2016-03-24,400,451,2.88,95.0,119.0,40.34
2016-03-25,345,366,3.01,71.0,81.0,38.27
2016-03-26,128,140,2.14,15.0,18.0,44.44
2016-03-27,211,225,1.78,20.0,22.0,63.64
2016-03-28,468,509,2.36,129.0,146.0,39.04
2016-03-29,383,426,2.82,200.0,234.0,32.48
2016-03-30,386,423,3.78,214.0,254.0,29.53
2016-03-31,411,467,3.43,198.0,237.0,38.82
2016-04-01,318,365,4.93,136.0,161.0,40.37
2016-04-02,109,117,1.71,41.0,50.0,40.0
2016-04-03,127,144,2.78,63.0,70.0,45.71
2016-04-04,392,444,2.93,172.0,206.0,40.29
2016-04-05,400,457,4.38,158.0,195.0,44.62
2016-04-06,429,491,5.3,150.0,184.0,42.93
2016-04-07,387,456,4.82,163.0,194.0,42.78
2016-04-08,292,324,2.47,161.0,191.0,43.98
2016-04-09,133,152,1.97,59.0,68.0,48.53
2016-04-10,193,214,4.67,141.0,164.0,53.05
2016-04-11,396,439,4.33,229.0,265.0,47.55
2016-04-12,384,430,4.42,158.0,198.0,44.44
2016-04-13,419,484,4.96,143.0,183.0,45.36
2016-04-14,417,471,2.76,177.0,217.0,37.79
2016-04-15,391,464,2.59,130.0,164.0,51.22
2016-04-16,133,150,2.67,40.0,52.0,40.38
2016-04-17,156,173,4.62,69.0,81.0,44.44
2016-04-18,427,503,4.57,140.0,181.0,35.36
2016-04-19,418,510,4.51,150.0,183.0,46.45
2016-04-20,393,442,4.52,166.0,198.0,46.97
2016-04-21,412,489,2.04,132.0,159.0,44.65
2016-04-22,300,338,3.25,121.0,146.0,41.78
2016-04-23,138,155,3.23,27.0,28.0,46.43
2016-04-24,182,208,5.77,33.0,38.0,44.74
2016-04-25,373,452,3.98,124.0,147.0,37.42
2016-04-26,373,430,3.72,121.0,147.0,50.34
2016-04-27,388,432,4.4,168.0,199.0,46.23
2016-04-28,415,477,4.4,171.0,214.0,43.46
2016-04-29,356,419,6.44,121.0,141.0,44.68
2016-04-30,145,156,5.13,38.0,41.0,46.34
2016-05-01,165,189,2.65,52.0,64.0,32.81
2016-05-02,410,476,2.94,124.0,156.0,39.1
2016-05-03,371,440,3.41,127.0,164.0,35.37
2016-05-04,318,382,4.71,132.0,156.0,41.03
2016-05-05,319,362,3.31,112.0,146.0,47.95
2016-05-06,299,328,4.27,108.0,127.0,43.31
